序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
57,"102年 5月",臺北市,"66,784","20,394","1,384","37,553","7,452",0.804
58,"91年 12月",臺北市,"73,828","54,779",0,"19,050",0,0.901
59,"102年 6月",臺北市,"70,458","22,873","1,322","39,182","7,082",0.876
60,"102年 7月",臺北市,"73,192","23,942","1,863","40,070","7,316",0.88
61,92年,臺北市,"897,406","661,474",0,"231,243","4,689",0.933
62,"102年 8月",臺北市,"72,138","23,521","1,545","39,963","7,108",0.868
63,"92年 1月",臺北市,"91,092","71,286",0,"19,549",257,1.113
64,"102年 9月",臺北市,"66,155","21,215","1,506","37,304","6,130",0.822
65,"92年 2月",臺北市,"60,216","45,389",0,"14,537",290,0.815
66,"102年 10月",臺北市,"70,436","22,394","1,506","40,244","6,293",0.847
67,"92年 3月",臺北市,"71,836","53,253",0,"18,136",447,0.878
68,"102年 11月",臺北市,"68,016","22,423","1,073","38,121","6,399",0.845
69,"102年 12月",臺北市,"68,733","23,110","1,159","38,133","6,330",0.826
70,"92年 4月",臺北市,"73,338","54,414",0,"18,324",601,0.927
71,103年,臺北市,"840,555","274,166","14,632","473,933","77,824",0.855
72,"92年 5月",臺北市,"75,432","57,675",0,"17,324",433,0.923
73,"103年 1月",臺北市,"74,475","26,069","1,538","40,222","6,647",0.894
74,"92年 6月",臺北市,"75,694","55,049",0,"20,585",60,0.958
75,"103年 2月",臺北市,"65,119","20,547",704,"37,967","5,901",0.865
76,"92年 7月",臺北市,"78,318","58,292",0,"19,890",135,0.96
77,"103年 3月",臺北市,"65,671","21,318","1,018","37,149","6,187",0.788
78,"103年 4月",臺北市,"63,552","20,213","1,008","36,125","6,205",0.787
79,"92年 8月",臺北市,"75,172","53,730",0,"21,382",60,0.922
80,"103年 5月",臺北市,"70,644","23,853","1,165","38,582","7,045",0.847
81,"92年 9月",臺北市,"80,410","58,324",0,"22,004",83,1.02
82,"103年 6月",臺北市,"72,069","23,843","1,391","39,860","6,975",0.892
83,"92年 10月",臺北市,"70,833","52,845",0,"17,656",332,0.87
84,"103年 7月",臺北市,"75,475","24,379","1,702","42,315","7,079",0.904
85,"103年 8月",臺北市,"71,527","23,303","1,159","40,464","6,601",0.856
86,"92年 11月",臺北市,"68,213","50,126",0,"17,415",673,0.866
87,"103年 9月",臺北市,"72,680","23,219","1,351","41,441","6,668",0.899
88,"92年 12月",臺北市,"76,851","51,093",0,"24,441","1,318",0.944
89,"103年 10月",臺北市,"71,434","22,684","1,323","41,106","6,321",0.855
90,93年,臺北市,"921,729","592,464",0,"287,155","42,110",0.959
91,"103年 11月",臺北市,"67,321","21,806",963,"38,436","6,117",0.831
92,"93年 1月",臺北市,"86,060","59,331",0,"23,671","3,058",1.057
93,"103年 12月",臺北市,"70,588","22,932","1,311","40,267","6,078",0.843
94,104年,臺北市,"857,431","282,756","15,076","484,977","74,622",0.869
95,"93年 2月",臺北市,"69,476","44,825",0,"21,592","3,059",0.912
96,"104年 1月",臺北市,"72,792","23,593","1,354","41,652","6,193",0.869
97,"93年 3月",臺北市,"72,851","47,027",0,"22,641","3,183",0.894
98,"104年 2月",臺北市,"71,749","23,600","1,167","41,109","5,873",0.947
99,"93年 4月",臺北市,"73,004","47,524",0,"22,263","3,217",0.927
100,"104年 3月",臺北市,"69,243","21,973","1,069","39,713","6,489",0.826
101,"93年 5月",臺北市,"78,555","51,070",0,"23,487","3,999",0.965
102,"104年 4月",臺北市,"67,083","21,137","1,163","38,420","6,364",0.826
103,"104年 5月",臺北市,"71,247","23,816",856,"39,649","6,927",0.849
104,"93年 6月",臺北市,"80,004","49,255",0,"26,536","4,213",1.016
105,"104年 6月",臺北市,"73,551","24,965",916,"40,450","7,220",0.906
106,"93年 7月",臺北市,"78,109","48,934",0,"25,126","4,050",0.96
107,"104年 7月",臺北市,"72,807","23,840","1,105","41,000","6,861",0.868
108,"93年 8月",臺北市,"79,047","51,251",0,"24,416","3,380",0.972
109,"104年 8月",臺北市,"82,161","28,247","1,977","45,722","6,215",0.981
110,"104年 9月",臺北市,"69,073","21,957","2,068","39,654","5,395",0.852
111,"93年 9月",臺北市,"80,828","50,068",0,"27,504","3,255",1.027
112,"104年 10月",臺北市,"70,960","23,895","1,317","39,980","5,768",0.848
113,"93年 10月",臺北市,"73,138","46,583",0,"23,393","3,162",0.9
114,"104年 11月",臺北市,"68,069","22,361","1,030","39,170","5,507",0.84
115,"93年 11月",臺北市,"76,150","48,658",0,"23,863","3,629",0.968
116,"104年 12月",臺北市,"68,695","23,373","1,054","38,458","5,810",0.82
117,"93年 12月",臺北市,"74,506","47,939",0,"22,662","3,905",0.916
118,105年,臺北市,"783,268","244,574","13,649","456,832","68,213",0.793
119,"105年 1月",臺北市,"70,704","22,694","1,148","41,084","5,778",0.843
120,94年,臺北市,"962,626","537,539","28,051","327,437","69,598",1.007
121,"105年 2月",臺北市,"68,618","23,400",753,"39,189","5,274",0.875
122,"94年 1月",臺北市,"87,106","50,604","4,575","26,219","5,707",1.072
123,"105年 3月",臺北市,"65,794","21,739",998,"37,585","5,472",0.785
124,"94年 2月",臺北市,"75,222","45,219","1,542","23,574","4,886",1.025
125,"105年 4月",臺北市,"64,828","20,997","1,081","37,080","5,670",0.799
126,"105年 5月",臺北市,"67,477","20,714","1,137","39,459","6,168",0.805
127,"94年 3月",臺北市,"82,775","46,399","2,197","28,601","5,577",1.019
128,"105年 6月",臺北市,"66,972","20,653",972,"38,959","6,389",0.826
129,"94年 4月",臺北市,"80,535","43,022","1,902","28,437","7,173",1.025
130,"105年 7月",臺北市,"63,478","18,283","1,020","38,042","6,133",0.758
131,"94年 5月",臺北市,"82,538","45,646","2,005","27,503","7,383",1.017
132,"105年 8月",臺北市,"61,874","17,696","1,302","37,056","5,820",0.739
133,"94年 6月",臺北市,"82,061","44,945","2,589","28,057","6,471",1.045
134,"105年 9月",臺北市,"63,886","19,367","1,391","37,416","5,711",0.789
135,"105年 10月",臺北市,"64,428","19,768","1,467","37,899","5,294",0.771
136,"94年 7月",臺北市,"82,159","45,674","2,775","27,668","6,042",1.013
137,"105年 11月",臺北市,"60,629","18,355","1,124","36,311","4,839",0.75
138,"94年 8月",臺北市,"80,151","44,570","2,631","27,658","5,292",0.988
139,"105年 12月",臺北市,"64,581","20,909","1,255","36,752","5,665",0.773
140,"94年 9月",臺北市,"80,190","44,523","2,892","27,534","5,242",1.021
141,106年,臺北市,"755,026","205,932","14,031","468,299","66,764",0.769
142,"94年 10月",臺北市,"77,142","42,246","1,842","27,448","5,606",0.951
143,"106年 1月",臺北市,"72,151","22,465","1,245","42,824","5,617",0.863
144,"106年 2月",臺北市,"61,616","18,712",859,"36,812","5,234",0.817
145,"94年 11月",臺北市,"74,965","41,136","1,431","27,385","5,013",0.955
146,"106年 3月",臺北市,"64,756","20,023","1,191","38,107","5,434",0.775
147,"94年 12月",臺北市,"77,781","43,553","1,670","27,354","5,204",0.959
148,"106年 4月",臺北市,"62,157","19,110",953,"36,631","5,463",0.769
149,95年,臺北市,"957,721","521,777","19,267","342,089","74,587",1
150,"106年 5月",臺北市,"71,389","20,839","1,171","43,366","6,013",0.856
151,"95年 1月",臺北市,"89,361","53,228","2,917","28,797","4,419",1.102
152,"106年 6月",臺北市,"59,733","14,478","1,237","37,877","6,141",0.74
153,"106年 7月",臺北市,"58,184","13,654","1,232","37,448","5,850",0.698
154,"95年 2月",臺北市,"69,919","40,057",893,"23,718","5,251",0.954
155,"106年 8月",臺北市,"58,843","14,056","1,311","37,991","5,485",0.707
156,"95年 3月",臺北市,"77,010","43,487","1,426","26,303","5,794",0.949
157,"106年 9月",臺北市,"64,267","17,226","1,173","40,390","5,478",0.798
158,"95年 4月",臺北市,"72,669","39,530","1,364","25,487","6,288",0.925
159,"106年 10月",臺北市,"63,072","16,011","1,162","40,396","5,502",0.758
160,"106年 11月",臺北市,"59,621","15,042","1,314","37,923","5,342",0.741
161,"95年 5月",臺北市,"82,385","44,857","1,460","29,616","6,452",1.014
162,"106年 12月",臺北市,"59,237","14,315","1,184","38,534","5,204",0.712
163,"95年 6月",臺北市,"81,739","43,484","1,566","30,456","6,233",1.039
164,107年,臺北市,"750,275","210,570","11,831","459,035","68,839",0.768
165,"95年 7月",臺北市,"84,759","43,951","2,109","32,531","6,167",1.042
166,"107年 1月",臺北市,"65,745","17,710","1,220","41,363","5,452",0.79
167,"95年 8月",臺北市,"83,348","44,352","1,602","31,245","6,149",1.024
168,"107年 2月",臺北市,"60,964","15,723","1,020","39,146","5,075",0.812
