序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
123,"105年 3月",新北市,"76,049","25,436","2,862","37,967","9,785",0.618
124,"94年 2月",新北市,"115,238","88,249","4,363","18,057","4,570",1.109
125,"105年 4月",新北市,"76,365","22,892","3,181","40,064","10,228",0.641
126,"105年 5月",新北市,"78,891","24,723","3,137","40,778","10,253",0.641
127,"94年 3月",新北市,"110,511","84,608","3,953","17,565","4,386",0.961
128,"105年 6月",新北市,"75,624","22,761","3,117","38,555","11,191",0.635
129,"94年 4月",新北市,"105,782","79,733","4,514","16,152","5,383",0.949
130,"105年 7月",新北市,"77,650","23,603","3,039","40,156","10,851",0.63
131,"94年 5月",新北市,"114,264","86,326","5,914","16,427","5,597",0.991
132,"105年 8月",新北市,"91,279","24,303","3,004","53,724","10,248",0.741
133,"94年 6月",新北市,"110,537","82,515","5,164","17,260","5,598",0.99
134,"105年 9月",新北市,"80,739","26,331","3,479","40,730","10,199",0.677
135,"105年 10月",新北市,"92,745","25,980","3,560","53,203","10,002",0.753
136,"94年 7月",新北市,"109,139","79,815","5,593","18,569","5,163",0.945
137,"105年 11月",新北市,"89,524","24,459","3,059","52,902","9,104",0.75
138,"94年 8月",新北市,"112,572","81,901","5,431","19,694","5,547",0.975
139,"105年 12月",新北市,"89,221","27,976","3,210","47,778","10,258",0.723
140,"94年 9月",新北市,"109,406","75,927","5,121","22,920","5,438",0.978
141,106年,新北市,"1,158,662","390,679","47,834","606,677","113,473",0.797
142,"94年 10月",新北市,"109,896","74,521","5,078","24,705","5,592",0.95
143,"106年 1月",新北市,"89,717","30,469","5,286","43,525","10,438",0.727
144,"106年 2月",新北市,"93,767","25,620","3,338","54,960","9,849",0.841
145,"94年 11月",新北市,"102,501","70,691","4,735","21,544","5,531",0.915
146,"106年 3月",新北市,"81,058","26,238","3,513","41,393","9,914",0.657
147,"94年 12月",新北市,"111,088","76,663","5,256","23,796","5,374",0.959
148,"106年 4月",新北市,"84,881","25,656","3,200","45,343","10,683",0.711
149,95年,新北市,"1,233,650","826,469","51,859","272,557","82,765",0.901
150,"106年 5月",新北市,"86,290","29,088","3,655","42,830","10,717",0.699
151,"95年 1月",新北市,"114,959","79,758","6,531","22,226","6,443",0.992
152,"106年 6月",新北市,"89,290","27,237","4,292","46,868","10,893",0.747
153,"106年 7月",新北市,"86,022","25,940","4,410","45,524","10,147",0.697
154,"95年 2月",新北市,"99,021","68,059","4,761","19,779","6,422",0.946
155,"106年 8月",新北市,"96,082","24,252","4,238","57,560","10,032",0.778
156,"95年 3月",新北市,"92,045","59,330","4,657","21,565","6,494",0.794
157,"106年 9月",新北市,"80,706","23,332","3,657","43,614","10,102",0.675
158,"95年 4月",新北市,"96,091","62,993","5,379","20,459","7,260",0.856
159,"106年 10月",新北市,"112,439","52,994","4,141","48,414","6,890",0.91
160,"106年 11月",新北市,"155,178","49,778","4,007","94,635","6,757",1.298
161,"95年 5月",新北市,"105,224","72,541","3,720","21,525","7,438",0.906
162,"106年 12月",新北市,"103,232","50,077","4,096","42,009","7,051",0.835
163,"95年 6月",新北市,"107,162","72,938","3,713","23,565","6,946",0.953
164,107年,新北市,"1,537,668","600,400","50,102","760,185","126,983",1.056
165,"95年 7月",新北市,"106,424","73,136","3,841","22,940","6,507",0.916
166,"107年 1月",新北市,"121,000","64,766","4,769","40,909","10,557",0.979
167,"95年 8月",新北市,"105,107","70,571","3,842","23,578","7,116",0.904
168,"107年 2月",新北市,"114,116","59,460","4,144","40,570","9,943",1.022
169,"107年 3月",新北市,"118,463","51,908","3,959","51,052","11,544",0.959
170,"95年 9月",新北市,"99,108","66,039","3,875","22,321","6,874",0.88
171,"107年 4月",新北市,"102,729","45,040","3,373","43,707","10,609",0.859
172,"95年 10月",新北市,"100,960","66,630","4,030","23,261","7,039",0.867
173,"107年 5月",新北市,"103,441","45,371","3,736","42,058","12,276",0.837
174,"95年 11月",新北市,"101,884","66,043","4,177","24,552","7,112",0.903
175,"107年 6月",新北市,"107,522","48,125","4,078","42,883","12,436",0.899
176,"95年 12月",新北市,"105,664","68,431","3,332","26,786","7,114",0.906
177,"107年 7月",新北市,"141,863","44,364","4,803","81,580","11,117",1.147
178,"107年 8月",新北市,"160,625","40,644","4,474","107,661","7,845",1.299
179,96年,新北市,"1,283,836","825,426","47,333","328,112","82,965",0.93
180,"107年 9月",新北市,"100,891","46,600","4,136","41,630","8,525",0.843
181,"96年 1月",新北市,"111,133","73,837","4,151","26,519","6,626",0.951
182,"107年 10月",新北市,"134,910","54,305","4,315","65,245","11,045",1.09
183,"96年 2月",新北市,"111,046","72,822","5,355","26,562","6,306",1.052
184,"107年 11月",新北市,"116,727","49,891","4,207","52,218","10,411",0.974
185,"107年 12月",新北市,"215,382","49,925","4,108","150,673","10,677",1.739
186,"96年 3月",新北市,"106,682","70,653","3,357","25,578","7,094",0.913
187,108年,新北市,"1,513,068","573,994","49,483","765,413","124,178",1.034
188,"96年 4月",新北市,"106,542","68,937","3,624","27,109","6,872",0.941
189,"108年 1月",新北市,"114,690","49,741","5,369","48,526","11,055",0.926
190,"96年 5月",新北市,"110,024","71,908","3,743","26,997","7,376",0.94
191,"108年 2月",新北市,"104,305","46,906","3,904","43,670","9,824",0.932
192,"96年 6月",新北市,"109,283","71,126","3,697","27,484","6,977",0.964
193,"108年 3月",新北市,"105,645","45,615","3,839","45,406","10,785",0.852
194,"108年 4月",新北市,"109,872","44,390","3,985","50,626","10,872",0.916
195,"96年 7月",新北市,"108,936","69,851","4,165",0,"7,200",0.929
196,"108年 5月",新北市,"104,212","42,184","3,964","47,401","10,664",0.84
197,"96年 8月",新北市,"111,406","72,265","4,288",0,"6,957",0.95
198,"108年 6月",新北市,"104,109","41,685","3,661","48,523","10,241",0.867
199,"96年 9月",新北市,"99,598","62,339","3,463",0,"6,685",0.877
200,"108年 7月",新北市,"121,679","51,657","4,687","54,527","10,807",0.98
201,"96年 10月",新北市,"106,581","67,012","4,236",0,"6,962",0.907
202,"108年 8月",新北市,"235,736","50,841","4,057","170,375","10,463",1.897
203,"108年 9月",新北市,"117,780","48,963","3,905","55,736","9,176",0.979
204,"96年 11月",新北市,"96,853","60,467","3,564",0,"6,693",0.851
205,"108年 10月",新北市,"120,270","50,304","3,989","55,774","10,203",0.967
206,"96年 12月",新北市,"105,753","64,210","3,691",0,"7,217",0.899
207,"108年 11月",新北市,"125,741","50,362","3,760","61,839","9,780",1.044
208,97年,新北市,"1,290,910","775,926","38,626","388,550","87,807",0.924
209,"108年 12月",新北市,"149,030","51,348","4,365","83,010","10,307",1.197
210,"97年 1月",新北市,"116,529","73,318","6,268","30,099","6,845",0.989
211,"97年 2月",新北市,"111,729","70,007","3,328","31,232","7,163",1.013
212,"97年 3月",新北市,"105,527","64,821","2,978","30,419","7,308",0.895
213,"97年 4月",新北市,"105,560","63,637","3,076","31,559","7,288",0.925
214,"97年 5月",新北市,"112,005","68,014","3,399","33,154","7,438",0.949
215,"97年 6月",新北市,"112,055","66,183","3,365","34,436","8,070",0.98
216,"97年 7月",新北市,"110,238","65,660","3,320","33,634","7,623",0.933
217,"97年 8月",新北市,"103,365","59,931","2,545","33,756","7,132",0.874
218,"97年 9月",新北市,"107,516","63,363","2,805","33,974","7,374",0.938
219,"97年 10月",新北市,"101,869","60,628","2,603","31,677","6,961",0.859
220,"97年 11月",新北市,"98,101","56,804","2,336","32,130","6,831",0.854
221,"97年 12月",新北市,"106,416","63,560","2,602","32,481","7,772",0.896
222,98年,新北市,"1,312,129","711,461","27,425","466,247","106,996",0.933
223,"98年 1月",新北市,"119,827","71,782","4,074","36,036","7,935",1.008
224,"98年 2月",新北市,"104,427","58,506","1,665","36,122","8,134",0.972
225,"98年 3月",新北市,"107,451","60,786","1,927","36,342","8,397",0.902
226,"98年 4月",新北市,"106,910","60,343","1,947","36,092","8,527",0.927
227,"98年 5月",新北市,"109,990","60,573","1,819","38,999","8,598",0.922
228,"98年 6月",新北市,"116,095","64,986","2,239","39,749","9,121",1.006
229,"98年 7月",新北市,"113,061","59,444","2,338","41,297","9,982",0.947
230,"98年 8月",新北市,"106,447","56,696","2,203","38,783","8,766",0.891
231,"98年 9月",新北市,"103,230","52,503","2,349","39,324","9,053",0.891
232,"98年 10月",新北市,"111,262","57,484","2,357","42,001","9,420",0.929
233,"98年 11月",新北市,"109,484","56,900","2,200","40,956","9,428",0.943
234,"98年 12月",新北市,"103,945","51,458","2,307","40,547","9,633",0.866
235,99年,新北市,"1,300,557","631,039","30,008","495,687","143,822",0.917
236,"99年 1月",新北市,"120,368","66,558","3,493","40,811","9,506",1.002
237,"99年 2月",新北市,"118,825","63,459","3,047","42,636","9,682",1.095
238,"99年 3月",新北市,"110,744","58,019","2,001","40,716","10,008",0.921
239,"99年 4月",新北市,"107,780","56,141","2,221","40,116","9,302",0.925
240,"99年 5月",新北市,"113,773","60,318","2,140","41,007","10,307",0.945
241,"99年 6月",新北市,"116,420","61,448","2,482","42,082","10,409",0.999
242,"99年 7月",新北市,"110,639","52,764","2,328","43,190","12,358",0.919
243,"99年 8月",新北市,"105,767","47,400","2,414","42,424","13,528",0.877
244,"99年 9月",新北市,"104,187","45,822","2,790","41,874","13,702",0.892
245,"99年 10月",新北市,"102,248","45,704","2,572","40,502","13,470",0.847
246,"99年 11月",新北市,"97,945","40,483","2,446","40,044","14,973",0.838
247,"99年 12月",新北市,"91,861","32,923","2,075","40,286","16,578",0.76
,,,,,,,,
,,,,,,,,
