統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤),ratio
2001-07-01,苗栗縣,16613,15508,0,1105,0,0.977,14.034389140271493
2001-07-01,彰化縣,33001,31257,0,1744,0,0.813,17.922591743119266
2001-07-01,南投縣,13348,12604,0,744,0,0.801,16.940860215053764
2001-07-01,雲林縣,20926,19370,0,1555,0,0.91,12.456591639871382
2001-07-01,嘉義縣,15275,14349,0,926,0,0.886,15.495680345572355
2001-07-01,屏東縣,28979,27571,0,1408,0,1.032,19.581676136363637
2001-07-01,臺東縣,8815,7635,0,1181,0,1.187,6.464860287891617
2001-07-01,花蓮縣,19014,18100,0,913,0,1.753,19.82475355969332
2001-07-01,澎湖縣,3321,2926,0,395,0,1.182,7.407594936708861
2001-07-01,基隆市,12018,9662,0,2357,0,0.994,4.099278744166313
2001-07-01,新竹市,12824,11387,0,1438,0,1.115,7.918636995827538
2001-07-01,嘉義市,9775,9541,0,233,0,1.18,40.94849785407725
2001-07-01,金門縣,1842,1748,0,93,0,1.065,18.795698924731184
2001-07-01,連江縣,0,0,0,0,0,0,NaN
2001-08-01,新北市,103163,98075,0,5088,0,0.926,19.27574685534591
2001-08-01,臺北市,67898,62687,0,5211,0,0.83,12.029744770677413
2001-08-01,桃園市,54057,50797,0,3260,0,0.996,15.581901840490797
2001-08-01,臺中市,66331,56831,0,9500,0,0.874,5.982210526315789
2001-08-01,臺中市(舊),24149,18851,0,5298,0,0.799,3.558135145337863
2001-08-01,臺中縣,42182,37980,0,4202,0,0.924,9.038553069966683
2001-08-01,臺南市,54448,49125,0,5323,0,0.953,9.22881833552508
2001-08-01,臺南市(舊),23214,20023,0,3191,0,1.016,6.274835474772798
2001-08-01,臺南縣,31234,29102,0,2132,0,0.911,13.650093808630395
2001-08-01,高雄市,78439,71508,0,6931,0,0.93,10.317125955850527
2001-08-01,高雄市(舊),43162,38826,0,4336,0,0.932,8.954335793357934
2001-08-01,高雄縣,35277,32682,0,2595,0,0.927,12.594219653179191
2001-08-01,宜蘭縣,14230,12915,0,1314,0,0.985,9.82876712328767
2001-08-01,新竹縣,13328,12234,0,1093,0,0.977,11.193046660567246
2001-08-01,苗栗縣,17595,16445,0,1150,0,1.033,14.3
2001-08-01,彰化縣,34792,33044,0,1748,0,0.857,18.903890160183067
2001-08-01,南投縣,14045,13007,0,1038,0,0.843,12.53082851637765
2001-08-01,雲林縣,20208,18904,0,1304,0,0.879,14.496932515337424
2001-08-01,嘉義縣,14805,13879,0,926,0,0.858,14.988120950323975
2001-08-01,屏東縣,26889,25827,0,1062,0,0.958,24.319209039548024
2001-08-01,臺東縣,9263,7938,0,1326,0,1.248,5.986425339366516
2001-08-01,花蓮縣,18870,17730,0,1140,0,1.739,15.552631578947368
2001-08-01,澎湖縣,2948,2579,0,369,0,1.046,6.989159891598916
2001-08-01,基隆市,11859,9589,0,2271,0,0.98,4.2223690004403345
2001-08-01,新竹市,12477,11036,0,1440,0,1.083,7.663888888888889
2001-08-01,嘉義市,10156,9621,0,535,0,1.223,17.983177570093456
2001-08-01,金門縣,2046,1864,0,181,0,1.175,10.298342541436464
2001-08-01,連江縣,0,0,0,0,0,0,NaN
2001-09-01,新北市,103835,99321,0,4514,0,0.962,22.002879929109437
2001-09-01,臺北市,188111,184477,0,3635,0,2.379,50.750206327372766
2001-09-01,桃園市,59340,56363,0,2977,0,1.128,18.93281827342963
2001-09-01,臺中市,58130,48870,0,9261,0,0.799,5.276967930029154
2001-09-01,臺中市(舊),19693,14917,0,4776,0,0.673,3.1233249581239533
2001-09-01,臺中縣,38437,33952,0,4485,0,0.884,7.570122630992196
2001-09-01,臺南市,59828,54129,0,5699,0,1.083,9.49798210212318
2001-09-01,臺南市(舊),23388,19888,0,3500,0,1.061,5.682285714285714
2001-09-01,臺南縣,36440,34241,0,2199,0,1.098,15.571168713051387
2001-09-01,高雄市,74099,67309,0,6790,0,0.907,9.912960235640648
2001-09-01,高雄市(舊),41776,37429,0,4347,0,0.933,8.610305958132045
2001-09-01,高雄縣,32323,29881,0,2443,0,0.876,12.2312730249693
2001-09-01,宜蘭縣,13747,12592,0,1155,0,0.984,10.902164502164503
2001-09-01,新竹縣,15026,14038,0,988,0,1.136,14.208502024291498
2001-09-01,苗栗縣,17787,16652,0,1135,0,1.078,14.67136563876652
2001-09-01,彰化縣,31926,29996,0,1930,0,0.813,15.541968911917099
2001-09-01,南投縣,12843,11875,0,967,0,0.801,12.280248190279215
2001-09-01,雲林縣,19970,18680,0,1290,0,0.898,14.48062015503876
2001-09-01,嘉義縣,15250,14294,0,956,0,0.904,14.951882845188285
2001-09-01,屏東縣,25980,24898,0,1082,0,0.956,23.01109057301294
2001-09-01,臺東縣,8702,7525,0,1176,0,1.21,6.398809523809524
2001-09-01,花蓮縣,13328,12238,0,1090,0,1.267,11.227522935779817
2001-09-01,澎湖縣,2821,2516,0,305,0,1.031,8.249180327868853
2001-09-01,基隆市,10397,8901,0,1496,0,0.888,5.949866310160428
2001-09-01,新竹市,13057,11497,0,1560,0,1.17,7.369871794871795
2001-09-01,嘉義市,9285,9023,0,261,0,1.155,34.57088122605364
2001-09-01,金門縣,1974,1848,0,126,0,1.164,14.666666666666666
2001-09-01,連江縣,0,0,0,0,0,0,NaN
