統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤)
2001-04-01,澎湖縣,2666,2397,0,269,0,0.989
2011-06-01,桃園市,56808,25851,639,22740,7578,0.944
2001-04-01,基隆市,12036,10268,0,1768,0,1.031
2011-06-01,臺中市,64798,32645,949,25052,6152,0.814
2001-04-01,新竹市,12319,10954,0,1365,0,1.11
2011-06-01,臺南市,52733,25492,1373,20540,5327,0.938
2001-04-01,嘉義市,8819,8645,0,174,0,1.102
2011-06-01,高雄市,82502,41097,1570,32668,7167,0.992
2011-06-01,宜蘭縣,14459,5965,239,5658,2598,1.049
2001-04-01,金門縣,2004,1885,0,119,0,1.123
2011-06-01,新竹縣,14209,7999,22,5035,1153,0.92
2001-04-01,連江縣,0,0,0,0,0,0
2011-06-01,苗栗縣,15130,8190,126,5558,1255,0.899
2001-05-01,新北市,109071,104264,0,4806,0,0.982
2011-06-01,彰化縣,38163,21764,513,11389,4497,0.975
2001-05-01,臺北市,74970,69131,0,5839,0,0.915
2011-06-01,南投縣,13903,7371,69,4747,1716,0.883
2001-05-01,桃園市,56973,53658,0,3315,0,1.06
2011-06-01,雲林縣,15981,10435,170,4143,1232,0.744
2001-05-01,臺中市,63857,55218,0,8639,0,0.835
2011-06-01,嘉義縣,15309,9565,185,4772,787,0.944
2001-05-01,臺中市(舊),22771,17910,0,4861,0,0.757
2011-06-01,屏東縣,22836,13861,671,6912,1392,0.876
2001-05-01,臺中縣,41086,37308,0,3778,0,0.886
2011-06-01,臺東縣,6436,4093,111,1724,507,0.935
2001-05-01,臺南市,57625,53488,0,4137,0,1.009
2011-06-01,花蓮縣,8969,4674,69,3388,838,0.885
2001-05-01,臺南市(舊),23933,21877,0,2056,0,1.049
2011-06-01,澎湖縣,3248,1717,73,1112,346,1.121
2001-05-01,臺南縣,33692,31611,0,2081,0,0.982
2011-06-01,基隆市,12196,5821,190,5097,1088,1.064
2001-05-01,高雄市,79978,73805,0,6172,0,0.948
2011-06-01,新竹市,12918,6223,311,5250,1134,1.032
2001-05-01,高雄市(舊),46524,42508,0,4017,0,1.005
2011-06-01,嘉義市,9076,4616,274,3280,907,1.112
2001-05-01,高雄縣,33453,31298,0,2156,0,0.879
2011-06-01,金門縣,1700,974,50,542,134,0.57
2001-05-01,宜蘭縣,14645,13569,0,1077,0,1.016
