序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2096,"103年 8月",屏東縣,"8,870","3,421","2,293","1,255",953,108,338,153,30,8,0,311
2097,"91年 11月",宜蘭縣,"1,879",836,571,168,81,29,21,9,2,0,0,162
2098,"103年 8月",臺東縣,"2,574",739,210,"1,044",459,7,14,14,2,53,0,34
2099,"91年 11月",新竹縣,834,514,175,53,42,1,29,5,9,0,0,5
2100,"103年 8月",花蓮縣,"3,592","1,931",663,461,381,37,37,26,13,1,0,41
2101,"91年 11月",苗栗縣,"1,543",772,197,178,126,17,37,20,4,0,0,191
2102,"103年 8月",澎湖縣,"1,032",562,66,123,229,15,9,14,4,1,0,8
2103,"91年 11月",彰化縣,"3,168","1,821",569,351,308,24,37,15,8,0,0,37
2104,"103年 8月",基隆市,"5,322","3,285",501,382,812,47,51,7,26,0,0,211
2105,"91年 11月",南投縣,"1,241",450,225,177,181,17,16,3,5,0,0,167
2106,"103年 8月",新竹市,"6,661","4,086",668,496,994,227,45,72,15,0,0,58
2107,"91年 11月",雲林縣,"1,826",766,388,178,238,12,23,7,3,0,0,212
2108,"103年 8月",嘉義市,"3,867","1,887","1,076",418,170,47,187,19,55,0,0,8
2109,"91年 11月",嘉義縣,"1,106",503,272,202,68,19,19,7,3,0,0,13
2110,"103年 8月",金門縣,925,466,222,140,48,7,18,5,4,0,0,15
2111,"91年 11月",屏東縣,902,404,158,109,141,7,21,2,3,0,0,58
2112,"103年 8月",連江縣,209,78,67,37,14,1,9,2,1,0,0,0
2113,"91年 11月",臺東縣,"1,371",786,146,309,102,14,7,4,0,0,0,4
2114,"103年 9月",新北市,"38,856","19,638","10,409","4,586","2,331",429,327,85,91,17,0,943
2115,"91年 11月",花蓮縣,"1,500",941,175,204,45,15,45,6,11,0,0,57
2116,"103年 9月",臺北市,"41,441","27,021","11,439","1,624",711,76,291,19,181,0,0,81
2117,"91年 11月",澎湖縣,448,213,29,35,50,1,29,26,2,0,0,64
2118,"103年 9月",桃園市,"32,468","16,445","6,797","5,628","1,745",198,434,190,255,1,0,775
2119,"91年 11月",基隆市,"1,938",803,421,233,238,124,91,16,9,0,0,3
2120,"103年 9月",臺中市,"32,652","18,198","6,025","3,239","3,063",233,487,135,157,10,0,"1,105"
2121,"91年 11月",新竹市,"1,476",620,287,287,121,13,9,1,3,0,0,135
2122,"103年 9月",臺南市,"23,250","13,146","6,172","1,920","1,227",145,190,116,88,6,0,241
