序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
157,"90年 2月",澎湖縣,"2,850","2,584",0,266,0,1.137
158,"100年 3月",嘉義縣,"14,579","8,983",222,"4,518",856,0.868
159,"90年 2月",基隆市,"11,782","9,544",0,"2,238",0,1.083
160,"100年 3月",屏東縣,"21,001","12,643",294,"6,634","1,430",0.777
161,"90年 2月",新竹市,"11,820","10,395",0,"1,425",0,1.144
162,"100年 3月",臺東縣,"5,426","3,027",105,"1,782",512,0.76
163,"100年 3月",花蓮縣,"8,213","4,308",156,"3,011",739,0.783
164,"90年 2月",嘉義市,"8,078","7,898",0,180,0,1.083
165,"100年 3月",澎湖縣,"2,686","1,424",71,898,293,0.895
166,"90年 2月",金門縣,"1,937","1,801",0,136,0,1.271
167,"90年 2月",連江縣,0,0,0,0,0,0
168,"100年 3月",基隆市,"11,083","5,266",261,"4,495","1,061",0.933
169,"90年 3月",新北市,"103,025","98,729",0,"4,296",0,0.931
170,"100年 3月",新竹市,"12,453","6,089",614,"4,657","1,092",0.966
171,"100年 3月",嘉義市,"8,565","4,293",262,"3,085",924,1.015
172,"90年 3月",臺北市,"70,017","65,702",0,"4,316",0,0.854
173,"100年 3月",金門縣,"1,625",893,87,501,143,0.534
174,"90年 3月",桃園市,"54,688","51,543",0,"3,144",0,1.021
175,"90年 3月",臺中市,"59,310","51,367",0,"7,943",0,0.81
176,"100年 3月",連江縣,483,193,30,171,90,1.566
177,"90年 3月",臺中市(舊),"21,470","17,173",0,"4,297",0,0.717
178,"100年 4月",新北市,"86,521","29,661","2,330","38,889","15,641",0.74
179,"100年 4月",臺北市,"79,466","29,606",977,"41,728","7,154",1.008
180,"90年 3月",臺中縣,"37,840","34,194",0,"3,646",0,0.874
181,"90年 3月",臺南市,"53,100","49,239",0,"3,861",0,0.931
182,"100年 4月",桃園市,"52,570","22,576",451,"22,483","7,061",0.875
183,"100年 4月",臺中市,"61,490","30,756",947,"24,214","5,574",0.773
184,"90年 3月",臺南市(舊),"21,692","19,666",0,"2,025",0,0.952
185,"100年 4月",臺南市,"54,476","26,003",972,"22,197","5,304",0.969
186,"90年 3月",臺南縣,"31,408","29,573",0,"1,835",0,0.917
187,"100年 4月",高雄市,"81,092","40,639","1,752","31,762","6,939",0.975
188,"90年 3月",高雄市,"77,253","71,066",0,"6,187",0,0.915
189,"90年 3月",高雄市(舊),"45,048","40,979",0,"4,069",0,0.973
190,"100年 4月",宜蘭縣,"13,283","5,100",311,"5,299","2,573",0.963
191,"90年 3月",高雄縣,"32,205","30,088",0,"2,118",0,0.844
192,"100年 4月",新竹縣,"13,129","7,358",29,"4,615","1,127",0.851
193,"90年 3月",宜蘭縣,"14,518","13,467",0,"1,051",0,1.007
194,"100年 4月",苗栗縣,"13,959","7,382",109,"5,511",957,0.83
195,"100年 4月",彰化縣,"35,950","20,166",433,"10,837","4,514",0.918
196,"90年 3月",新竹縣,"12,719","11,365",0,"1,354",0,0.939
197,"100年 4月",南投縣,"12,694","6,679",67,"4,296","1,652",0.805
198,"90年 3月",苗栗縣,"15,887","14,793",0,"1,094",0,0.934
199,"100年 4月",雲林縣,"15,666","10,069",161,"4,151","1,286",0.729
200,"90年 3月",彰化縣,"32,079","30,358",0,"1,722",0,0.792
201,"100年 4月",嘉義縣,"14,654","9,047",217,"4,553",836,0.902
202,"90年 3月",南投縣,"13,531","12,740",0,791,0,0.819
203,"100年 4月",屏東縣,"21,151","12,858",267,"6,568","1,458",0.809
204,"90年 3月",雲林縣,"19,924","18,721",0,"1,203",0,0.867
