序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
111,"93年 9月",桃園市,"56,346","42,221",0,"10,388","3,737",1.022
112,"104年 10月",桃園市,"50,711","20,902",34,"27,228","2,547",0.78
113,"93年 10月",桃園市,"53,448","39,899",0,"9,731","3,818",0.934
114,"104年 11月",桃園市,"63,428","33,674",265,"27,046","2,444",1.006
115,"93年 11月",桃園市,"52,703","38,962",0,"9,906","3,834",0.95
116,"104年 12月",桃園市,"67,341","36,550",524,"27,692","2,575",1.032
117,"93年 12月",桃園市,"53,867","39,730",0,"10,128","4,009",0.939
118,105年,桃園市,"792,116","382,259","6,635","377,307","25,915",1.018
119,"105年 1月",桃園市,"66,639","36,565",285,"27,427","2,362",1.02
120,94年,桃園市,"682,278","447,433","7,485","168,442","58,918",1.002
121,"105年 2月",桃園市,"59,406","29,163",45,"27,887","2,312",0.971
122,"94年 1月",桃園市,"57,236","41,086",699,"11,025","4,426",0.996
123,"105年 3月",桃園市,"65,742","34,975","1,669","26,582","2,517",1.004
124,"94年 2月",桃園市,"54,393","38,867",565,"10,725","4,236",1.047
125,"105年 4月",桃園市,"54,179","23,444",812,"27,671","2,253",0.854
126,"105年 5月",桃園市,"49,611","19,610",104,"27,599","2,298",0.755
127,"94年 3月",桃園市,"54,248","38,545",435,"10,572","4,696",0.942
128,"105年 6月",桃園市,"70,062","39,486","1,057","27,234","2,285",1.1
129,"94年 4月",桃園市,"55,275","36,530",486,"13,094","5,165",0.991
130,"105年 7月",桃園市,"67,128","34,869",866,"29,240","2,152",1.018
131,"94年 5月",桃園市,"59,080","39,217",525,"14,374","4,963",1.024
132,"105年 8月",桃園市,"72,714","34,683","1,240","34,818","1,973",1.101
133,"94年 6月",桃園市,"59,409","38,151",541,"15,630","5,088",1.062
134,"105年 9月",桃園市,"76,923","36,179",432,"38,309","2,003",1.201
135,"105年 10月",桃園市,"68,488","29,109",39,"37,402","1,938",1.033
136,"94年 7月",桃園市,"58,193","37,338",566,"15,347","4,942",1.006
137,"105年 11月",桃園市,"70,317","31,805",44,"36,638","1,830",1.094
138,"94年 8月",桃園市,"58,394","37,024",636,"15,643","5,092",1.013
139,"105年 12月",桃園市,"70,908","32,371",43,"36,502","1,992",1.066
140,"94年 9月",桃園市,"57,197","35,427",831,"15,877","5,062",1.024
141,106年,桃園市,"890,147","379,199","1,187","487,301","22,460",1.125
142,"94年 10月",桃園市,"56,535","35,846",839,"14,850","5,000",0.974
143,"106年 1月",桃園市,"73,416","30,138",36,"41,417","1,825",1.102
144,"106年 2月",桃園市,"72,179","31,229",32,"39,070","1,848",1.198
145,"94年 11月",桃園市,"55,450","34,307",812,"15,254","5,077",0.988
146,"106年 3月",桃園市,"76,360","32,736",34,"41,742","1,847",1.143
147,"94年 12月",桃園市,"56,867","35,094",550,"16,052","5,171",0.979
